City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
2260401,Djambala,CG,-2.5447,14.7533,68.83,85,32,5.12
155405,Mafinga,TZ,-7.25,35.0667,69.57,63,0,5.03
3137469,Sørland,NO,67.667,12.6934,48.27,73,100,21.52
3522526,Nuevo Progreso,MX,23.1667,-97.95,77.27,91,4,5.37
2449893,Tessalit,ML,20.1986,1.0114,86.13,11,0,6.35
339219,Dessie,ET,11.1333,39.6333,61.52,51,32,0.98
6173864,Vernon,CA,50.2581,-119.2691,57.56,62,85,1.21
1262062,Naliya,IN,23.2667,68.8333,86.36,65,26,19.3
1254046,Tura,IN,25.5198,90.2201,79.38,77,89,4.65
6930743,Vzmorye,RU,54.6961,20.2361,50.09,63,63,10.18
1496503,Noyabrsk,RU,63.1994,75.4507,34.45,98,100,12.15
161974,Bereket,TM,39.2446,55.5154,76.05,20,0,13.0
2910302,Harrislee,DE,54.8,9.3833,51.17,76,98,10.36
3443061,Chui,UY,-33.6971,-53.4616,54.12,84,92,16.51
144448,Ahvāz,IR,31.3203,48.6693,80.55,32,0,2.3
2208248,Kaitangata,NZ,-46.2817,169.8464,48.65,89,100,7.34
5374376,Monterey,US,36.2505,-121.2516,62.37,33,0,5.59
3564124,Cienfuegos,CU,22.1461,-80.4356,77.14,94,83,4.61
4031574,Provideniya,RU,64.3833,-173.3,32.11,86,90,6.71
616136,Tsovinar,AM,40.157,45.4613,58.57,51,4,2.93
368246,Raja,SS,8.4596,25.678,69.31,98,99,0.83
2738381,Lata,PT,40.1629,-8.3327,61.21,68,0,7.18
4004293,Ixtapa,MX,20.7,-105.2,74.43,94,75,6.91
1267433,Kattivākkam,IN,13.2167,80.3167,89.69,56,61,7.56
1724435,Bogo,PH,11.0517,124.0055,84.85,70,91,10.02
3384986,Vitória do Mearim,BR,-3.4622,-44.8706,73.56,93,91,3.0
2521710,Antequera,ES,37.0194,-4.5612,62.1,92,1,3.2
3420768,Qasigiannguit,GL,68.8193,-51.1922,28.65,93,100,5.06
175007,Agarak,AM,39.2068,46.5446,69.13,48,0,3.29
1078553,Ampanihy,MG,-24.7,44.75,76.28,40,0,11.3
3354071,Oranjemund,NA,-28.55,16.4333,55.22,66,1,9.69
2729907,Longyearbyen,SJ,78.2186,15.6401,40.84,93,75,3.44
3628503,San Carlos,VE,9.6612,-68.5827,72.68,95,52,2.46
2980915,Arrondissement de Saint-Denis,FR,48.9167,2.3333,53.4,91,75,8.05
1787409,Yangmei,CN,24.1023,112.5618,88.54,57,27,0.29
3374210,São Filipe,CV,14.8961,-24.4956,79.77,85,73,6.2
1645133,Dumai,ID,1.6833,101.45,86.11,73,82,1.16
1214488,Meulaboh,ID,4.1363,96.1285,84.2,65,96,2.95
2070998,Geraldton,AU,-28.7667,114.6,86.41,16,0,17.27
3466980,Caravelas,BR,-17.7125,-39.2481,70.14,88,1,4.68
3418910,Upernavik,GL,72.7868,-56.1549,22.28,80,64,5.37
3141982,Rena,NO,61.1348,11.3641,43.21,95,100,4.36
569223,Cherepovets,RU,59.1333,37.9,33.62,86,0,8.95
934322,Mahébourg,MU,-20.4081,57.7,71.89,56,20,8.05
3985710,Cabo San Lucas,MX,22.8909,-109.9124,80.08,82,98,5.99
2018946,Novoil'insk,RU,51.6829,108.7143,44.35,93,100,6.46
5882953,Aklavik,CA,68.2191,-135.0107,38.23,97,100,12.44
3156868,Folldal,NO,62.1325,9.9968,39.2,98,100,5.17
2191911,Dargaville,NZ,-35.9333,173.8833,60.35,72,11,6.29
1625929,Sungai Penuh,ID,-2.0833,101.3833,75.54,74,92,3.98
3175788,Oga,IT,46.4631,10.347,44.55,93,89,4.07
3416888,Grindavik,IS,63.8424,-22.4338,45.07,93,90,18.41
1267390,Kavaratti,IN,10.5669,72.642,81.54,79,100,11.59
921786,Mitsamiouli,KM,-11.3847,43.2844,79.09,65,20,11.5
2171099,Codrington,AU,-38.2667,141.9667,52.12,76,99,14.47
6147353,Sicamous,CA,50.8331,-118.9856,52.77,64,97,3.89
342856,Bako,ET,5.7833,36.5667,68.88,65,85,4.14
6100069,Peace River,CA,56.2501,-117.286,50.31,61,90,5.75
4946620,Palmer,US,42.1584,-72.3287,55.36,100,1,0.0
3146487,Raudeberg,NO,61.9875,5.1352,52.47,83,46,23.91
3112075,Reinosa,ES,42.9996,-4.138,47.26,97,79,5.93
1861416,Ishigaki,JP,24.3448,124.1572,80.73,89,75,4.61
108410,Riyadh,SA,24.6877,46.7219,84.25,17,0,3.44
518488,Novonikolayevskiy,RU,50.9738,42.3649,52.34,82,100,5.95
2094342,Kavieng,PG,-2.5744,150.7967,84.18,68,89,3.15
5557293,Sitka,US,57.0531,-135.33,55.29,76,90,11.5
3939761,Hualmay,PE,-11.0964,-77.6139,60.46,84,73,8.46
1214026,Sabang,ID,5.8933,95.3214,82.51,75,100,18.34
1282027,Malé,MV,4.1748,73.5089,85.95,74,20,9.22
3007679,Arrondissement de Langres,FR,47.8333,5.3333,49.05,95,14,4.34
211647,Lodja,CD,-3.4833,23.4333,71.31,80,74,1.43
748870,Çubuk,TR,40.2386,33.0322,53.06,82,40,6.91
2139521,Noumea,NC,-22.2763,166.4572,80.58,56,4,1.63
1701054,Marawi,PH,7.9986,124.2928,78.82,79,89,2.95
1252919,Warud,IN,21.4667,78.2667,82.31,79,80,7.2
1510377,Belyy Yar,RU,53.6039,91.3903,46.29,61,0,11.18
92004,Rāwah,IQ,34.4816,41.9093,81.59,32,0,11.99
2013918,Ust-Maya,RU,60.4167,134.5333,43.74,72,95,5.91
3440777,Rocha,UY,-34.4833,-54.3333,52.32,78,92,17.96
934479,Grand Gaube,MU,-20.0064,57.6608,72.0,63,73,20.56
7372400,Weihe,CN,32.9952,105.3247,73.09,63,28,6.78
2446796,Bilma,NE,18.6853,12.9164,82.02,16,3,5.39
8079926,Labuhan,ID,-6.8844,112.2051,86.58,61,98,5.93
1488788,Tyubuk,RU,56.0552,60.9405,41.88,61,6,4.12
3994469,Ojinaga,MX,29.5667,-104.4167,88.75,29,75,13.8
324496,Aksaray,TR,38.3726,34.0254,58.59,37,0,4.14
286621,Salalah,OM,17.0151,54.0924,80.69,83,75,2.3
1529376,Korla,CN,41.7597,86.1469,82.69,14,12,4.32
1337605,Mahibadhoo,MV,3.7833,72.9667,83.7,72,19,10.89
2645198,Kirkwall,GB,58.9848,-2.9587,55.45,88,75,16.11
1071296,Antalaha,MG,-14.9003,50.2788,74.44,65,75,10.31
4153367,Doctor Phillips,US,28.4495,-81.4923,75.78,94,75,4.61
1529660,Aksu,CN,41.1231,80.2644,81.68,17,0,2.51
2122850,Nikolayevsk-on-Amur,RU,53.1406,140.73,58.82,36,1,7.9
2123814,Leningradskiy,RU,69.3833,178.4167,24.53,84,95,10.96
5924351,Clyde River,CA,70.4692,-68.5914,28.35,72,86,5.41
5972291,Havre-St-Pierre,CA,50.2334,-63.5986,44.96,93,1,4.61
1283285,Jumla,NP,29.2747,82.1838,71.33,62,83,6.11
5354943,Half Moon Bay,US,37.4636,-122.4286,71.46,34,20,5.75
3352263,Warmbad,NA,-28.45,18.7333,48.74,62,0,8.95
2132606,Samarai,PG,-10.6167,150.6667,78.78,87,100,14.38
3351663,Benguela,AO,-12.5763,13.4055,71.01,85,93,6.11
6354894,Portneuf,CA,46.6906,-71.8901,54.73,88,43,4.61
2017215,Sangar,RU,63.9242,127.4739,44.58,64,31,5.48
5554072,Juneau,US,58.3019,-134.4197,51.8,82,90,14.97
1803367,Linqing,CN,36.8456,115.7117,79.36,56,0,3.42
3579925,St. George's,GD,12.0564,-61.7485,81.25,74,19,11.01
4160812,Key West,US,24.5557,-81.7826,82.4,83,1,4.61
1816440,Bengbu,CN,32.9408,117.3608,84.94,57,0,16.6
778707,Mehamn,NO,71.0357,27.8492,37.35,70,0,20.71
2112444,Kamaishi,JP,39.2667,141.8833,77.95,70,0,13.35
2181625,Te Anau,NZ,-45.4167,167.7167,47.5,86,87,5.37
1688696,San Policarpo,PH,12.1791,125.5072,83.97,73,27,9.93
686090,Asău,RO,46.4333,26.4,45.52,88,98,0.72
1651810,Airai,TL,-8.9266,125.4092,78.22,37,67,6.6
3356343,Karasburg,NA,-28.0167,18.75,46.38,58,0,10.6
2610343,Vestmanna,FO,62.1564,-7.1664,50.92,82,90,20.71
1337617,Muli,MV,2.9167,73.5667,83.34,72,12,10.8
5503914,Fallon,US,39.4735,-118.7774,57.07,26,1,3.44
2986626,Plouzané,FR,48.3833,-4.6167,52.88,96,90,3.44
3839307,Rawson,AR,-43.3002,-65.1023,53.78,44,0,9.73
1638775,Payo,ID,-3.7508,103.6372,86.9,63,78,2.42
1855540,Naze,JP,28.3667,129.4833,81.52,63,0,4.34
2439376,Tahoua,NE,14.8888,5.2692,82.56,56,88,8.28
1259184,Puri,IN,19.8,85.85,84.72,84,100,8.88
1260674,Palmaner,IN,13.2,78.75,85.39,49,84,9.24
1486321,Yar-Sale,RU,66.8333,70.8333,37.72,98,100,9.84
2399001,Mayumba,GA,-3.432,10.6554,74.44,85,100,4.27
2399371,Makokou,GA,0.5738,12.8642,68.74,100,65,2.46
161901,Kaka,TM,37.3482,59.6143,76.28,20,0,4.27
2522875,Province of Trapani,IT,37.8333,12.6667,66.29,94,40,3.44
2059470,Victor Harbor,AU,-35.5667,138.6167,57.29,61,92,13.31
2271968,Aljezur,PT,37.3191,-8.8033,63.55,58,0,9.33
3374083,Bathsheba,BB,13.2167,-59.5167,83.01,74,40,12.66
1253257,Vengurla,IN,15.8667,73.6333,82.13,75,72,4.85
1337607,Kudahuvadhoo,MV,2.6708,72.8944,83.48,73,45,10.36
1015776,Bredasdorp,ZA,-34.5322,20.0403,47.52,81,63,2.3
1174872,Karachi,PK,24.9056,67.0822,85.82,66,75,17.27
5954718,Flin Flon,CA,54.7682,-101.865,42.75,84,36,5.64
3738301,El Tarra,CO,8.5756,-73.0949,74.03,98,100,2.37
3451138,Rio Grande,BR,-32.035,-52.0986,57.31,89,99,22.62
2643044,Margate,GB,51.3813,1.3862,49.86,83,74,1.28
